name,full_name,owner,stars,forks,size,created_at,updated_at,clone_url,html_url,default_branch,age_years,releases
leetcode,doocs/leetcode,doocs,34961,9144,694112,2018-09-16T14:03:03Z,2025-09-18T22:56:24Z,https://github.com/doocs/leetcode.git,https://github.com/doocs/leetcode,main,7.01,0
glide,bumptech/glide,bumptech,34950,6173,97781,2013-07-08T22:52:33Z,2025-09-17T15:22:50Z,https://github.com/bumptech/glide.git,https://github.com/bumptech/glide,master,12.19,0
netty,netty/netty,netty,34439,16170,101876,2010-11-09T09:22:21Z,2025-09-18T16:30:45Z,https://github.com/netty/netty.git,https://github.com/netty/netty,4.2,14.86,0
spring-boot-demo,xkcoding/spring-boot-demo,xkcoding,33911,10989,14194,2017-11-10T06:27:29Z,2025-09-18T20:52:52Z,https://github.com/xkcoding/spring-boot-demo.git,https://github.com/xkcoding/spring-boot-demo,master,7.85,0
AndroidUtilCode,Blankj/AndroidUtilCode,Blankj,33644,10704,47329,2016-07-30T18:18:32Z,2025-09-18T19:22:59Z,https://github.com/Blankj/AndroidUtilCode.git,https://github.com/Blankj/AndroidUtilCode,master,9.14,0
easyexcel,alibaba/easyexcel,alibaba,33629,7644,26334,2018-02-06T03:14:08Z,2025-09-18T13:23:25Z,https://github.com/alibaba/easyexcel.git,https://github.com/alibaba/easyexcel,master,7.61,0
zxing,zxing/zxing,zxing,33594,9420,242799,2011-10-12T14:07:27Z,2025-09-18T16:21:37Z,https://github.com/zxing/zxing.git,https://github.com/zxing/zxing,master,13.94,0
ruoyi-vue-pro,YunaiV/ruoyi-vue-pro,YunaiV,33282,7166,183744,2021-01-24T03:18:25Z,2025-09-18T20:55:48Z,https://github.com/YunaiV/ruoyi-vue-pro.git,https://github.com/YunaiV/ruoyi-vue-pro,master,4.65,0
selenium,SeleniumHQ/selenium,SeleniumHQ,33237,8587,2351273,2013-01-14T21:40:56Z,2025-09-18T19:39:19Z,https://github.com/SeleniumHQ/selenium.git,https://github.com/SeleniumHQ/selenium,trunk,12.67,0
nacos,alibaba/nacos,alibaba,32055,13142,66840,2018-06-15T06:49:27Z,2025-09-18T22:29:52Z,https://github.com/alibaba/nacos.git,https://github.com/alibaba/nacos,develop,7.26,0
WxJava,binarywang/WxJava,binarywang,31928,8981,18700,2016-01-06T08:24:05Z,2025-09-18T21:12:06Z,https://github.com/binarywang/WxJava.git,https://github.com/binarywang/WxJava,develop,9.7,0
kafka,apache/kafka,apache,30928,14637,258738,2011-08-15T18:06:16Z,2025-09-18T20:17:25Z,https://github.com/apache/kafka.git,https://github.com/apache/kafka,trunk,14.09,0
spring-boot-examples,ityouknow/spring-boot-examples,ityouknow,30606,12341,1074,2016-11-05T05:32:33Z,2025-09-18T20:56:53Z,https://github.com/ityouknow/spring-boot-examples.git,https://github.com/ityouknow/spring-boot-examples,master,8.87,0
hutool,chinabugotech/hutool,chinabugotech,30079,7663,70597,2014-04-13T07:23:51Z,2025-09-18T20:57:01Z,https://github.com/chinabugotech/hutool.git,https://github.com/chinabugotech/hutool,v5-master,11.43,0
apollo,apolloconfig/apollo,apolloconfig,29655,10227,56697,2016-03-04T10:24:23Z,2025-09-18T20:57:02Z,https://github.com/apolloconfig/apollo.git,https://github.com/apolloconfig/apollo,master,9.54,0
keycloak,keycloak/keycloak,keycloak,29643,7623,554921,2013-07-02T13:38:51Z,2025-09-18T23:01:53Z,https://github.com/keycloak/keycloak.git,https://github.com/keycloak/keycloak,main,12.21,0
canal,alibaba/canal,alibaba,29374,7675,24182,2013-01-13T10:59:52Z,2025-09-18T09:50:30Z,https://github.com/alibaba/canal.git,https://github.com/alibaba/canal,master,12.68,0
xxl-job,xuxueli/xxl-job,xuxueli,29326,11314,37871,2015-11-28T12:59:34Z,2025-09-18T20:56:53Z,https://github.com/xuxueli/xxl-job.git,https://github.com/xuxueli/xxl-job,master,9.81,0
conductor,conductor-oss/conductor,conductor-oss,29204,718,29647,2023-12-08T06:06:09Z,2025-09-18T21:55:26Z,https://github.com/conductor-oss/conductor.git,https://github.com/conductor-oss/conductor,main,1.78,0
SpringAll,wuyouzhuguli/SpringAll,wuyouzhuguli,28958,8173,1069,2018-05-02T02:48:44Z,2025-09-18T20:52:52Z,https://github.com/wuyouzhuguli/SpringAll.git,https://github.com/wuyouzhuguli/SpringAll,master,7.38,0
spring-cloud-alibaba,alibaba/spring-cloud-alibaba,alibaba,28764,8471,55812,2017-12-01T20:49:15Z,2025-09-18T21:08:10Z,https://github.com/alibaba/spring-cloud-alibaba.git,https://github.com/alibaba/spring-cloud-alibaba,2023.x,7.79,0
druid,alibaba/druid,alibaba,28194,8600,91726,2011-11-03T05:12:51Z,2025-09-18T19:24:19Z,https://github.com/alibaba/druid.git,https://github.com/alibaba/druid,master,13.88,0
